Country,Subset,ShortenedQuestion,ShortName,Answer,Percentage
Belgium,Gay,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,5
Belgium,Gay,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,19
Belgium,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,64
Belgium,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,6
Belgium,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,30
Belgium,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,69
Belgium,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,9
Belgium,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,22
Belgium,Transgender,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,65
Belgium,Transgender,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,9
Belgium,Transgender,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,25
Bulgaria,Lesbian,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,30
Bulgaria,Lesbian,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,33
Bulgaria,Lesbian,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,38
Bulgaria,Gay,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,40
Bulgaria,Gay,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,19
Bulgaria,Gay,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,42
Bulgaria,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,38
Bulgaria,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,22
Bulgaria,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,40
Bulgaria,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,36
Bulgaria,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,20
Bulgaria,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,43
Bulgaria,Transgender,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,46
Bulgaria,Transgender,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,23
Bulgaria,Transgender,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,31
Cyprus,Lesbian,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,10
Cyprus,Lesbian,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,20
Cyprus,Lesbian,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,71
Cyprus,Gay,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,23
Cyprus,Gay,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,29
Cyprus,Gay,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,48
Cyprus,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,:
Cyprus,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,:
Cyprus,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,:
Cyprus,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,:
Cyprus,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,:
Cyprus,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,:
Cyprus,Transgender,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,20
Cyprus,Transgender,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,24
Cyprus,Transgender,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,56
Czech Republic,Lesbian,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,51
Czech Republic,Lesbian,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,11
Czech Republic,Lesbian,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,39
Czech Republic,Gay,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,63
Czech Republic,Gay,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,8
Czech Republic,Gay,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,29
Czech Republic,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,46
Czech Republic,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,12
Czech Republic,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,42
Czech Republic,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,58
Czech Republic,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,13
Czech Republic,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,29
Czech Republic,Transgender,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,63
Czech Republic,Transgender,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,8
Czech Republic,Transgender,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,29
Germany,Lesbian,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,57
Germany,Lesbian,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,14
Germany,Lesbian,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,30
Germany,Gay,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,60
Germany,Gay,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,15
Germany,Gay,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,25
Germany,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,53
Germany,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,15
Germany,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,33
Germany,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,53
Germany,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,19
Germany,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,28
Germany,Transgender,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,63
Germany,Transgender,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,13
Germany,Transgender,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,24
Denmark,Lesbian,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,71
Denmark,Lesbian,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,5
Denmark,Lesbian,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,24
Denmark,Gay,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,79
Denmark,Gay,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,3
Denmark,Gay,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,18
Denmark,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,62
Denmark,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,7
Denmark,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,31
Denmark,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,76
Denmark,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,9
Denmark,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,15
Denmark,Transgender,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,73
Denmark,Transgender,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,6
Denmark,Transgender,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,21
Estonia,Lesbian,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,34
Estonia,Lesbian,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,28
Estonia,Lesbian,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,37
Estonia,Gay,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,49
Estonia,Gay,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,15
Estonia,Gay,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,36
Estonia,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,43
Estonia,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,15
Estonia,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,43
Estonia,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,50
Estonia,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,10
Estonia,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,40
Estonia,Transgender,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,33
Estonia,Transgender,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,29
Estonia,Transgender,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,38
Greece,Lesbian,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,22
Greece,Lesbian,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,25
Greece,Lesbian,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,53
Greece,Gay,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,23
Greece,Gay,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,23
Greece,Gay,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,54
Greece,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,16
Greece,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,19
Greece,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,65
Greece,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,20
Greece,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,21
Greece,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,59
Greece,Transgender,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,23
Greece,Transgender,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,27
Greece,Transgender,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,50
Spain,Lesbian,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,51
Spain,Lesbian,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,21
Spain,Lesbian,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,28
Spain,Gay,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,54
Spain,Gay,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,18
Spain,Gay,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,28
Spain,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,44
Spain,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,21
Spain,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,34
Spain,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,49
Spain,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,27
Spain,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,24
Spain,Transgender,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,53
Spain,Transgender,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,25
Spain,Transgender,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,22
Finland,Lesbian,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,81
Finland,Lesbian,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,2
Finland,Lesbian,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,17
Finland,Gay,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,83
Finland,Gay,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,3
Finland,Gay,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,14
Finland,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,75
Finland,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,3
Finland,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,22
Finland,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,82
Finland,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,3
Finland,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,15
Finland,Transgender,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,82
Finland,Transgender,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,1
Finland,Transgender,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,16
France,Lesbian,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,60
France,Lesbian,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,7
France,Lesbian,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,33
France,Gay,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,70
France,Gay,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,7
France,Gay,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,23
France,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,55
France,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,6
France,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,39
France,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,64
France,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,10
France,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,26
France,Transgender,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,69
France,Transgender,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,8
France,Transgender,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,23
Croatia,Lesbian,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,46
Croatia,Lesbian,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,11
Croatia,Lesbian,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,44
Croatia,Gay,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,58
Croatia,Gay,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,8
Croatia,Gay,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,33
Croatia,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,50
Croatia,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,8
Croatia,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,43
Croatia,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,57
Croatia,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,2
Croatia,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,41
Croatia,Transgender,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,48
Croatia,Transgender,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,19
Croatia,Transgender,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,33
Hungary,Lesbian,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,28
Hungary,Lesbian,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,24
Hungary,Lesbian,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,47
Hungary,Gay,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,32
Hungary,Gay,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,24
Hungary,Gay,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,44
Hungary,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,24
Hungary,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,20
Hungary,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,56
Hungary,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,30
Hungary,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,19
Hungary,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,52
Hungary,Transgender,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,33
Hungary,Transgender,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,20
Hungary,Transgender,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,47
Ireland,Lesbian,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,68
Ireland,Lesbian,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,9
Ireland,Lesbian,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,23
Ireland,Gay,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,79
Ireland,Gay,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,7
Ireland,Gay,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,15
Ireland,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,61
Ireland,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,11
Ireland,Bisexual women,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,28
Ireland,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Yes,72
Ireland,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),No,10
Ireland,Bisexual men,Is there a law forbidding sexual orientation discrimination for job applicants?,Job Discrim. Laws (Sexual Orientation),Don`t know,17
